lang_pair,num_draft,num_final,BLEU_draft,BLEU_final,COMET_draft_sys,COMET_final_sys,COMET_KIWI_draft_sys,COMET_KIWI_final_sys,mode,dataset,subset,method,file,folder
zh-en,350,338,29.939520252537623,28.052848461243578,0.8377641218049185,0.8346940053285227,0.6949307594129017,0.6959040087355665,baseline,commonmt,contextual,baseline,test_baseline_commonmt_contextual_syntactic_ambiguity_zh-en_total.csv,results_Qwen3-4B
en-zh,1957,1920,26.575731466397624,28.047945571724817,0.7689114899037136,0.7747189131720612,0.5735457434671597,0.5752900630972969,baseline,drt,,baseline,test_baseline_drt_MetaphorTrans_en-zh_total.csv,results_Qwen3-4B
en-zh,990,954,37.24999319241973,37.61313390151288,0.8327946508472616,0.8345392530381804,0.6800320405099127,0.6806245706643542,baseline,wmt24,,baseline,test_baseline_wmt24_en-zh_total.csv,results_Qwen3-4B
en-fr,2071,1861,30.31007421345466,30.672644879792585,0.7733132580824948,0.7796353077148636,0.7146866172812933,0.7267106295558776,baseline,culturemt,,baseline,test_baseline_culturemt_en-fr_total.csv,results_Qwen3-4B
en-zh,774,729,32.48295495317367,33.55876912168607,0.8294267859261781,0.8328008885982106,0.7296222229211444,0.733852660010054,baseline,culturemt,,baseline,test_baseline_culturemt_en-zh_total.csv,results_Qwen3-4B
en-te,707,655,1.7581382311008094,1.810842661403654,0.6983164421992727,0.7047913844803817,0.5391846328362548,0.5457057827756605,baseline,culturemt,,baseline,test_baseline_culturemt_en-te_total.csv,results_Qwen3-4B
de-en,549,516,42.94552357568182,43.05794157730541,0.8367008735139079,0.8403762466339177,0.6698822123431117,0.6758295042916785,baseline,wmt23,,baseline,test_baseline_wmt23_de-en_total.csv,results_Qwen3-4B
en-ta,602,566,1.230780038314215,1.3292323012160203,0.678639929803503,0.6850096603901563,0.4924330388109178,0.4984731585504783,baseline,culturemt,,baseline,test_baseline_culturemt_en-ta_total.csv,results_Qwen3-4B
zh-en,1976,1909,24.14410089770492,24.363080463359083,0.8023617628222777,0.8036169863265493,0.6997344183814731,0.7020061235892454,baseline,wmt23,,baseline,test_baseline_wmt23_zh-en_total.csv,results_Qwen3-4B
en-de,500,472,28.16099427431292,28.873220376021017,0.8067256651520729,0.8163791100605059,0.6690229672789574,0.6838869014754891,baseline,rtt,,baseline,test_baseline_rtt_en-de_total.csv,results_Qwen3-4B
zh-en,450,436,28.6682158853883,29.08992955286185,0.8271787856022517,0.832869200326434,0.6594342899984783,0.6639469696567692,baseline,commonmt,contextless,baseline,test_baseline_commonmt_contextless_syntactic_ambiguity_zh-en_total.csv,results_Qwen3-4B
zh-en,400,392,32.117585432051364,32.14790294939194,0.8297496894747018,0.8309117682582262,0.6822352115623653,0.6815979173597024,baseline,commonmt,lexical,baseline,test_baseline_commonmt_lexical_ambiguity_zh-en_total.csv,results_Qwen3-4B
en-ja,991,951,18.389873498050573,18.94207692698049,0.8228600267865944,0.8319150137976518,0.6719520277786327,0.6860091613779935,baseline,wmt24,,baseline,test_baseline_wmt24_en-ja_total.csv,results_Qwen3-4B
en-hi,1055,987,9.042563896439056,9.53407376230858,0.6597108110714863,0.6679327684514066,0.547545831668151,0.5529522092403371,baseline,culturemt,,baseline,test_baseline_culturemt_en-hi_total.csv,results_Qwen3-4B
en-es,1580,1442,42.1152537252787,41.74096589137656,0.8246159882673735,0.8278910271337724,0.741468315572136,0.7539345568282356,baseline,culturemt,,baseline,test_baseline_culturemt_en-es_total.csv,results_Qwen3-4B
